paper_id,paper,condition,expected,status,observed,gap
perna_2012,Perna et al. 2012,single_food_trail,Local pheromone following should create food-trail recruitment and measurable trail reinforcement.,partial,"{""mean_food_trips"": 44.333, ""mean_food_collected"": 228.333, ""mean_food_pheromone"": 48872.333, ""mean_following_food_trail"": 50.333}","Matches trail reinforcement qualitatively, but the model does not yet export turn-angle vs. local left/right pheromone samples, so Weber-law response cannot be quantitatively tested."
amorim_2014,Amorim 2014,rain_food_removal_washout,Food-trail field should rise during exploitation and decay when food is removed or chemical field is washed out.,pass,"{""mean_food_pheromone_ratio"": 0.0, ""mean_nest_pheromone_ratio"": 0.0028}","Trail formation and decay are represented, but the simulator is an ABM with heuristic field units rather than Amorim's calibrated PDE chemotaxis variables."
deneubourg_goss_bridge,Deneubourg/Goss/Beckers double-bridge paradigm,double_bridge_upper_bias,A connected initial trail bias should increase selection of the biased bridge through positive feedback.,partial,"{""upper_selected_fraction"": 0.333, ""mean_dominance"": 0.0746, ""mean_food_trips"": 7.667}","Direction is testable, but validation still lacks digitized branch-choice probability curves from the original experiments."
dussutour_2004,Dussutour et al. 2004,crowding_bridge_density_shift,Crowded foragers should use alternative traffic organization before food-return throughput collapses.,pass,"{""low_mean_dominance"": 0.1201, ""high_mean_dominance"": 0.1024, ""low_mean_crossings"": 219.0, ""high_mean_crossings"": 704.333, ""low_avg_traffic_load"": 0.0083, ""high_avg_traffic_load"": 0.275}","The model has traffic load and detours, but lacks explicit antennal contacts, lane discipline and collision-avoidance rules measured in crowded ant trails."
john_2009,John et al. 2009,no_jam_density_speed,"Increasing trail density should not create a hard jammed phase; movement should degrade mildly, not collapse.",pass,"{""low_mean_displacement"": 231.4992, ""high_mean_displacement"": 151.1841, ""high_vs_low_displacement_ratio"": 0.6531, ""low_food_trips"": 0.0, ""high_food_trips"": 0.0}",This is only a displacement proxy. Proper validation needs trail-segment speed/flow-density measurements and body-contact rules.
shiraishi_2018,Shiraishi et al. 2018,stochasticity_relocation,A heterogeneous stochasticity distribution should improve adaptation after food relocation under some environments.,pass,"{""diverse"": {""mean_initial_food_trips"": 35.667, ""mean_relocated_early_trips"": 13.667, ""mean_trips_vs_initial"": 0.4655}, ""high"": {""mean_initial_food_trips"": 14.667, ""mean_relocated_early_trips"": 6.667, ""mean_trips_vs_initial"": 0.4613}, ""low"": {""mean_initial_food_trips"": 101.667, ""mean_relocated_early_trips"": 35.333, ""mean_trips_vs_initial"": 0.362}, ""medium"": {""mean_initial_food_trips"": 27.0, ""mean_relocated_early_trips"": 7.333, ""mean_trips_vs_initial"": 0.3051}}",The current check measures relative relocation adaptation. It does not yet fit the paper's environment-dependent optimal stochasticity distribution.
malickova_2015,"Malickova, Yates & Bodova 2015",two-cue adaptation proxy,Random motion plus pheromone signalling should permit adaptation to changed external conditions.,pass,"{""relocation_profiles"": {""diverse"": {""mean_initial_food_trips"": 35.667, ""mean_relocated_early_trips"": 13.667, ""mean_trips_vs_initial"": 0.4655}, ""high"": {""mean_initial_food_trips"": 14.667, ""mean_relocated_early_trips"": 6.667, ""mean_trips_vs_initial"": 0.4613}, ""low"": {""mean_initial_food_trips"": 101.667, ""mean_relocated_early_trips"": 35.333, ""mean_trips_vs_initial"": 0.362}, ""medium"": {""mean_initial_food_trips"": 27.0, ""mean_relocated_early_trips"": 7.333, ""mean_trips_vs_initial"": 0.3051}}, ""washout"": {""mean_food_pheromone_ratio"": 0.0, ""mean_nest_pheromone_ratio"": 0.0028}}","The simulator separates food/nest/water fields, but it is not yet the exact two-pheromone mathematical model and lacks direct synchronization metrics."
kang_theraulaz_2015,Kang & Theraulaz 2015,task_demand_reallocation,"Task allocation should shift with external task demand: brood demand should recruit brood work, resource shortage should recruit food/water work.",pass,"{""brood_condition_mean_task_brood"": 243.0, ""resource_condition_mean_task_brood"": 0.0, ""brood_condition_mean_food_water_tasks"": 0.0, ""resource_condition_mean_food_water_tasks"": 241.667, ""brood_condition_mean_brood_total"": 418.333, ""resource_condition_mean_food_trips"": 3.667, ""resource_condition_mean_water_trips"": 9.333}","The model has response-threshold-like task switching, but does not yet estimate worker-worker contact matrices or explicit task-switching rates."
afek_2015,"Afek, Kecher & Sulamy 2015",fail_stop_foraging_resilience,"After a fraction of ants fail-stop, remaining ants should still be able to forage, with reduced but nonzero throughput.",partial,"{""control_mean_food_trips"": 11.333, ""mass_death_mean_food_trips"": 1.667, ""trip_resilience_ratio"": 0.1471, ""mass_death_mean_dead_after_shock"": 109.667, ""mass_death_mean_corpse_moves"": 97.333, ""mass_death_mean_disposed_corpses"": 99.333}","Afek et al. is an algorithmic pheromone model; this ABM only tests biological-style degradation, not asymptotic pheromone lower bounds or proof-level optimality."
jimenez_romero_2015,Jimenez-Romero et al. 2015,negative_pheromone_forbidden_path,A second negative pheromone should reduce use of forbidden or unrewarding path regions without permanently blocking foraging.,partial,"{""control_mean_hazard_occupancy"": 41.315, ""avoid_mean_hazard_occupancy"": 36.759, ""avoid_vs_control_occupancy_ratio"": 0.8897, ""control_mean_food_trips"": 14.667, ""avoid_mean_food_trips"": 16.0, ""avoid_mean_avoid_pheromone"": 28.0}","The simulator has an avoid field, but it is not yet paired with individual learning or neural-controller adaptation as in the paper."
